tick,time,v_ref,top,navigation,avoidance,safety,mission,source,x,y,position_valid
241,1789654101.434134722,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
242,1789654101.444175720,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
243,1789654101.454156399,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
244,1789654101.464129686,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
245,1789654101.474133968,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
246,1789654101.484135866,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
247,1789654101.494153738,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
248,1789654101.504164696,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
249,1789654101.514145851,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
250,1789654101.524170160,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
251,1789654101.534133673,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
252,1789654101.544155359,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
253,1789654101.554192305,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
254,1789654101.564175129,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
255,1789654101.574166298,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
256,1789654101.584108829,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
257,1789654101.594119072,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
258,1789654101.604196787,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
259,1789654101.614113331,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
260,1789654101.624174356,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
261,1789654101.634114742,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
262,1789654101.644124508,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
263,1789654101.654161692,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
264,1789654101.664152384,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
265,1789654101.674174309,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
266,1789654101.684136629,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
267,1789654101.694112778,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
268,1789654101.704154253,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
269,1789654101.714123011,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
270,1789654101.724132538,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
271,1789654101.734139681,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
272,1789654101.744188786,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
273,1789654101.754137516,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
274,1789654101.764106512,0.000000000,0,1,0,0,0,1,-3.110958045,-3.911042667,1
275,1789654101.774138212,0.000000000,0,1,0,0,0,1,-3.125715910,-3.911042667,1
