tick,event_time_ns,time_kst,seconds_from_detection,v_ref,v_act,stopline_detected,remaining_m,distance_known,signal
3455,1789335625846189781,06:40:25.846,0.020041227340698242,2.0,1.962469697,1,,0,2
3456,1789335625856123805,06:40:25.856,0.029975414276123047,2.0,1.96229279,1,,0,2
3457,1789335625866125639,06:40:25.866,0.039977073669433594,2.0,1.961450458,1,,0,2
3458,1789335625876131667,06:40:25.876,0.04998302459716797,2.0,1.960698485,1,,0,2
3459,1789335625886151275,06:40:25.886,0.06000256538391113,2.0,1.960698485,1,,0,2
3460,1789335625896131895,06:40:25.896,0.06998324394226074,2.0,1.960640192,1,,0,2
3461,1789335625906127722,06:40:25.906,0.07997918128967285,2.0,1.960640192,1,,0,2
3462,1789335625916459820,06:40:25.916,0.09031128883361816,2.0,1.960130692,1,,0,2
3463,1789335625926150569,06:40:25.926,0.10000205039978027,2.0,1.960130692,1,,0,2
3464,1789335625936140182,06:40:25.936,0.10999178886413574,2.0,1.959248185,1,,0,2
3465,1789335625946161115,06:40:25.946,0.12001276016235352,2.0,1.958476067,1,,0,2
3466,1789335625956148421,06:40:25.956,0.12999987602233887,2.0,1.95836699,1,,0,2
3467,1789335625966135505,06:40:25.966,0.13998699188232422,2.0,1.959328771,1,,0,2
3468,1789335625976126819,06:40:25.976,0.1499781608581543,2.0,1.958310008,1,,0,2
3469,1789335625986129711,06:40:25.986,0.15998125076293945,2.0,1.95718348,1,,0,2
3470,1789335625996390369,06:40:25.996,0.1702418327331543,2.0,1.957661629,1,,0,2
3471,1789335626006158678,06:40:26.006,0.18001008033752441,2.0,1.957793832,1,,0,2
3472,1789335626016134593,06:40:26.016,0.1899862289428711,2.0,1.957306027,1,,0,2
3473,1789335626026128498,06:40:26.026,0.1999797821044922,2.0,1.956481457,1,,0,2
3474,1789335626036189972,06:40:26.036,0.21004152297973633,2.0,1.95663774,1,,0,2
3475,1789335626046150114,06:40:26.046,0.2200016975402832,2.0,1.957801461,1,,0,2
3476,1789335626056156253,06:40:26.056,0.23000764846801758,2.0,1.957336545,1,,0,2
3477,1789335626066146677,06:40:26.066,0.23999810218811035,2.0,1.956653714,1,,0,2
3478,1789335626076146258,06:40:26.076,0.24999761581420898,2.0,1.957420826,1,,0,2
3479,1789335626086130525,06:40:26.086,0.2599818706512451,2.0,1.958021045,1,,0,2
3480,1789335626096293248,06:40:26.096,0.2701449394226074,2.0,1.958177328,1,,0,2
3481,1789335626106152801,06:40:26.106,0.28000426292419434,2.0,1.957561851,1,,0,2
3482,1789335626116163133,06:40:26.116,0.29001450538635254,2.0,1.957752228,1,,0,2
3483,1789335626126148999,06:40:26.126,0.3000006675720215,2.0,1.959038496,1,,0,2
3484,1789335626136178212,06:40:26.136,0.3100297451019287,2.0,1.958959937,0,1.5,1,2
3485,1789335626146163723,06:40:26.146,0.32001519203186035,1.98500001,1.958596349,0,1.48044,1,2
3486,1789335626156127676,06:40:26.156,0.32997918128967285,1.97000003,1.959166527,0,1.46092,1,2
3487,1789335626166126943,06:40:26.166,0.3399784564971924,1.95500004,1.960016727,0,1.44132,1,2
3488,1789335626176149589,06:40:26.176,0.35000109672546387,1.94000006,1.960277677,0,1.42168,1,2
3489,1789335626186344409,06:40:26.186,0.3601958751678467,1.92500007,1.959830523,0,1.4017,1,2
3490,1789335626196139891,06:40:26.196,0.3699913024902344,1.91000009,1.959650278,0,1.3825,1,2
3491,1789335626206139481,06:40:26.206,0.379990816116333,1.8950001,1.959650278,0,1.3629,1,2
3492,1789335626216146622,06:40:26.216,0.389998197555542,1.88000011,1.959014177,0,1.3433,1,2
3493,1789335626226148962,06:40:26.226,0.40000033378601074,1.86500013,1.957812905,0,1.32372,1,2
3494,1789335626236192483,06:40:26.236,0.41004395484924316,1.85000014,1.957812905,0,1.30405,1,2
3495,1789335626246149081,06:40:26.246,0.4200005531311035,1.83500016,1.956840515,0,1.28457,1,2
3496,1789335626256148965,06:40:26.256,0.43000054359436035,1.82000017,1.955596805,0,1.26501,1,2
3497,1789335626266143731,06:40:26.266,0.43999528884887695,1.80500019,1.953277707,0,1.24549,1,2
3498,1789335626276151437,06:40:26.276,0.45000314712524414,1.7900002,1.951057673,0,1.22597,1,2
3499,1789335626286138202,06:40:26.286,0.4599895477294922,1.77500021,1.949588895,0,1.2065,1,2
3500,1789335626296156157,06:40:26.296,0.47000765800476074,1.76000023,1.947156668,0,1.18699,1,2
3501,1789335626306153189,06:40:26.306,0.48000478744506836,1.74500024,1.94471848,0,1.16755,1,2
3502,1789335626316157543,06:40:26.316,0.4900088310241699,1.73000026,1.942541122,0,1.14811,1,2
3503,1789335626326148912,06:40:26.326,0.5000002384185791,1.71500027,1.93974638,0,1.12873,1,2
3504,1789335626336150586,06:40:26.336,0.5100021362304688,1.70000029,1.937855959,0,1.10935,1,2
3505,1789335626346144141,06:40:26.346,0.5199956893920898,1.6850003,1.937855959,0,1.08999,1,2
3506,1789335626356145264,06:40:26.356,0.5299966335296631,1.67000031,1.934084773,0,1.07064,1,2
3507,1789335626366144836,06:40:26.366,0.5399961471557617,1.65500033,1.932761908,0,1.05132,1,2
3508,1789335626376149656,06:40:26.376,0.5500011444091797,1.64000034,1.92960453,0,1.03201,1,2
3509,1789335626386154782,06:40:26.386,0.5600061416625977,1.62500036,1.927097082,0,1.01273,1,2
3510,1789335626396146218,06:40:26.396,0.5699975490570068,1.61000037,1.924165368,0,0.993505,1,2
3511,1789335626406146921,06:40:26.406,0.579998254776001,1.59500039,1.924165368,0,0.974262,1,2
3512,1789335626416146182,06:40:26.416,0.5899977684020996,1.5800004,1.918464541,0,0.955079,1,2
3513,1789335626426134722,06:40:26.426,0.5999863147735596,1.56500041,1.91380775,0,0.935962,1,2
3514,1789335626436168104,06:40:26.436,0.6100196838378906,1.55000043,1.91380775,0,0.91676,1,2
3515,1789335626446137244,06:40:26.446,0.6199889183044434,1.53500044,1.905597925,0,0.897763,1,2
3516,1789335626456154220,06:40:26.456,0.6300055980682373,1.52000046,1.900649905,0,0.878725,1,2
3517,1789335626466150039,06:40:26.466,0.6400015354156494,1.50500047,1.895841837,0,0.859774,1,2
3518,1789335626476134546,06:40:26.476,0.6499860286712646,1.49000049,1.890843153,0,0.840895,1,2
3519,1789335626486297251,06:40:26.486,0.6601488590240479,1.4750005,1.885936141,0,0.821729,1,2
3520,1789335626496163386,06:40:26.496,0.6700148582458496,1.46000051,1.880350709,0,0.803177,1,2
3521,1789335626506157994,06:40:26.506,0.6800096035003662,1.44500053,1.874624491,0,0.784441,1,2
3522,1789335626516223060,06:40:26.516,0.6900744438171387,1.43000054,1.874624491,0,0.765572,1,2
3523,1789335626526130634,06:40:26.526,0.6999821662902832,1.41500056,1.863525152,0,0.747109,1,2
3524,1789335626536122285,06:40:26.536,0.7099738121032715,1.40000057,1.857493281,0,0.72855,1,2
3525,1789335626546145343,06:40:26.546,0.7199966907501221,1.38500059,1.851370573,0,0.709994,1,2
3526,1789335626556147379,06:40:26.556,0.7299988269805908,1.3700006,1.846018076,0,0.69153,1,2
3527,1789335626566170414,06:40:26.566,0.7400219440460205,1.35500062,1.839550018,0,0.673092,1,2
3528,1789335626576141955,06:40:26.576,0.7499935626983643,1.34000063,1.834233761,0,0.654802,1,2
3529,1789335626586128502,06:40:26.586,0.7599799633026123,1.32500064,1.827459335,0,0.636552,1,2
3530,1789335626596146127,06:40:26.596,0.7699975967407227,1.31000066,1.82159543,0,0.618304,1,2
3531,1789335626606163640,06:40:26.606,0.780015230178833,1.29500067,1.814946413,0,0.600122,1,2
3532,1789335626616153626,06:40:26.616,0.7900052070617676,1.28000069,1.80757308,0,0.582065,1,2
3533,1789335626626148079,06:40:26.626,0.799999475479126,1.2650007,1.800859332,0,0.564066,1,2
3534,1789335626636134191,06:40:26.636,0.8099856376647949,1.25000072,1.792886734,0,0.546162,1,2
3535,1789335626646139053,06:40:26.646,0.8199906349182129,1.23500073,1.784320712,0,0.52831,1,2
3536,1789335626656132363,06:40:26.656,0.8299839496612549,1.22000074,1.774860024,0,0.510573,1,2
3537,1789335626666171186,06:40:26.666,0.8400225639343262,1.20500076,1.765585423,0,0.492849,1,2
3538,1789335626676178065,06:40:26.676,0.850029706954956,1.19000077,1.756920218,0,0.475268,1,2
3539,1789335626686153863,06:40:26.686,0.8600053787231445,1.17500079,1.756920218,0,0.457741,1,2
3540,1789335626696181936,06:40:26.696,0.8700335025787354,1.1600008,1.738235354,0,0.44031,1,2
3541,1789335626706180524,06:40:26.706,0.8800320625305176,1.14500082,1.729188085,0,0.423021,1,2
3542,1789335626716147652,06:40:26.716,0.8899991512298584,1.13000083,1.719003201,0,0.405887,1,2
3543,1789335626726131660,06:40:26.726,0.8999831676483154,1.11500084,1.710334897,0,0.388811,1,2
3544,1789335626736122082,06:40:26.736,0.9099736213684082,1.10000086,1.700351715,0,0.371824,1,2
3545,1789335626746124922,06:40:26.746,0.9199762344360352,1.08500087,1.691075563,0,0.354908,1,2
