stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_snapped
1789220007.797,37.3041587,127.9075402,5,0,1.859,0,0.024,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.897,37.3041587,127.9075402,5,0,1.859,0,0.124,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220007.997,37.3041588,127.9075402,5,0,1.841,0,0.097,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.097,37.3041588,127.9075403,5,0,1.846,0,0.074,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.197,37.3041588,127.9075403,5,0,1.846,0,0.038,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.297,37.3041590,127.9075405,5,0,1.835,0,0.023,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.397,37.3041590,127.9075405,5,0,1.835,0,0.123,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.497,37.3041590,127.9075405,5,0,1.835,0,0.098,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.597,37.3041593,127.9075408,5,0,1.812,0,0.071,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.697,37.3041595,127.9075412,5,0,1.806,0,0.050,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.797,37.3041598,127.9075415,5,0,1.785,0,0.023,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.897,37.3041598,127.9075415,5,0,1.785,0,0.123,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220008.997,37.3041600,127.9075417,5,0,1.775,0,0.097,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.097,37.3041602,127.9075418,5,0,1.765,0,0.074,-135.0,접선,-0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.197,37.3041603,127.9075422,5,0,1.762,0,0.042,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.297,37.3041605,127.9075422,5,0,1.746,0,0.024,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.397,37.3041607,127.9075425,5,0,1.744,0,0.002,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.497,37.3041607,127.9075425,5,0,1.744,0,0.102,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.597,37.3041608,127.9075423,5,0,1.720,0,0.071,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.697,37.3041608,127.9075422,5,0,1.713,0,0.048,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.797,37.3041610,127.9075420,5,0,1.690,0,0.024,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.897,37.3041610,127.9075420,5,0,1.690,0,0.124,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220009.997,37.3041610,127.9075418,5,0,1.683,0,0.099,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220010.097,37.3041612,127.9075417,5,0,1.659,0,0.075,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220010.197,37.3041612,127.9075417,5,0,1.659,0,0.044,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
1789220010.297,37.3041613,127.9075415,5,0,1.636,0,0.031,-135.0,접선,0.0,,0,0,01,679880953601382441,0,0.000000,0.000000,0.000000,0.000000,0.100000,2.500000,2.500000,0
