stamp_s,lat,lon,quality,idx,cross_track_m,at_end,fix_age_s,heading_deg,heading_src,imu_yaw_deg,offset_deg,go,route_index,route_id,sequence_id,route_connecting,station_m,station_window_low_m,station_window_high_m,station_v_ref,station_sample_time_s,preview_requested_station_m,preview_station_m,preview_index,preview_snapped
1789733909.163,37.3037523,127.9070272,4,78,0.274,0,0.086,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.347580,18.847580,19.847580,0.000000,0.100000,21.847580,21.847580,88,0
1789733909.263,37.3037523,127.9070273,4,78,0.263,0,0.069,-133.6,융합,0.0,-133.6,0,0,04,14378461398811817291,0,19.337546,18.847580,19.847580,0.000000,0.100000,21.837546,21.837546,88,0
1789733909.363,37.3037523,127.9070272,4,78,0.274,0,0.047,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.837546,19.837546,0.000000,0.100000,21.847580,21.847580,88,0
1789733909.464,37.3037523,127.9070273,4,78,0.263,0,0.019,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.337546,18.697580,19.997580,1.000000,0.100000,21.837546,21.837546,88,0
1789733909.563,37.3037523,127.9070273,4,78,0.263,0,0.119,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.337546,18.697580,19.997580,1.000000,0.100000,21.837546,21.837546,88,0
1789733909.663,37.3037523,127.9070272,4,78,0.274,0,0.092,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.687546,19.987546,1.000000,0.100000,21.847580,21.847580,88,0
1789733909.763,37.3037523,127.9070272,4,78,0.274,0,0.070,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733909.863,37.3037523,127.9070272,4,78,0.274,0,0.035,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733909.963,37.3037523,127.9070272,4,78,0.274,0,0.015,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733910.063,37.3037523,127.9070272,4,78,0.274,0,0.115,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733910.163,37.3037523,127.9070272,4,78,0.274,0,0.071,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733910.263,37.3037523,127.9070272,4,78,0.274,0,0.063,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733910.364,37.3037523,127.9070272,4,78,0.274,0,0.046,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733910.464,37.3037523,127.9070272,4,78,0.274,0,0.021,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733910.563,37.3037523,127.9070272,4,78,0.274,0,0.120,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733910.663,37.3037522,127.9070273,4,78,0.251,0,0.093,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.351151,18.697580,19.997580,1.000000,0.100000,21.851151,21.851151,88,0
1789733910.763,37.3037522,127.9070273,4,78,0.251,0,0.066,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.351151,18.701151,20.001151,1.000000,0.100000,21.851151,21.851151,88,0
1789733910.863,37.3037522,127.9070273,4,78,0.251,0,0.038,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.351151,18.701151,20.001151,1.000000,0.100000,21.851151,21.851151,88,0
1789733910.963,37.3037523,127.9070273,4,78,0.263,0,0.021,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.337546,18.701151,20.001151,1.000000,0.100000,21.837546,21.837546,88,0
1789733911.063,37.3037523,127.9070273,4,78,0.263,0,0.120,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.337546,18.701151,20.001151,1.000000,0.100000,21.837546,21.837546,88,0
1789733911.163,37.3037523,127.9070273,4,78,0.263,0,0.085,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.337546,18.687546,19.987546,1.000000,0.100000,21.837546,21.837546,88,0
1789733911.263,37.3037523,127.9070272,4,78,0.274,0,0.077,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.687546,19.987546,1.000000,0.100000,21.847580,21.847580,88,0
1789733911.363,37.3037523,127.9070272,4,78,0.274,0,0.045,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733911.463,37.3037523,127.9070272,4,78,0.274,0,0.019,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733911.563,37.3037523,127.9070272,4,78,0.274,0,0.119,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733911.663,37.3037523,127.9070272,4,78,0.274,0,0.093,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733911.763,37.3037523,127.9070273,4,78,0.263,0,0.069,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.337546,18.697580,19.997580,1.000000,0.100000,21.837546,21.837546,88,0
1789733911.863,37.3037523,127.9070272,4,78,0.274,0,0.044,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.687546,19.987546,1.000000,0.100000,21.847580,21.847580,88,0
1789733911.963,37.3037523,127.9070272,4,78,0.274,0,0.020,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733912.063,37.3037523,127.9070272,4,78,0.274,0,0.120,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733912.163,37.3037523,127.9070272,4,78,0.274,0,0.094,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733912.263,37.3037523,127.9070272,4,78,0.274,0,0.068,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733912.363,37.3037523,127.9070272,4,78,0.274,0,0.040,-133.6,융합,0.0,-133.6,1,0,04,14378461398811817291,0,19.347580,18.697580,19.997580,1.000000,0.100000,21.847580,21.847580,88,0
1789733912.463,37.3037522,127.9070272,4,78,0.261,0,0.021,-133.6,융합,-0.0,-133.6,1,0,04,14378461398811817291,0,19.361185,18.697580,19.997580,1.000000,0.100000,21.861185,21.861185,88,0
1789733912.563,37.3037522,127.9070272,4,78,0.261,0,0.121,-133.7,융합,-0.1,-133.6,1,0,04,14378461398811817291,0,19.361185,18.697580,19.997580,1.000000,0.100000,21.861185,21.861185,88,0
1789733912.663,37.3037520,127.9070270,4,78,0.260,0,0.093,-133.9,융합,-0.2,-133.6,1,0,04,14378461398811817291,0,19.384824,18.711185,20.011185,1.000000,0.100000,21.884824,21.884824,88,0
