tick,event_time_ns,monotonic_ns,vehicle_speed,vehicle_speed_valid,external_stop,autonomous_enabled,lane_confidence,gps_valid,lidar_valid,avoid_updated,avoid_maneuver_done,avoid_path_n,avoid_generation,avoid_age_s,avoid_timeout_s,obstacle,avoidable,ttc,auto_estop,estop,parking_valid,parking_wall_complete,parking_ready,parking_search,parking_request_id,traffic_fail_safe,avoid_x,avoid_y,avoid_yaw,avoid_k,gps_x,gps_y,gps_heading_valid,rear_clear,red,green,traffic_stop_required
100,1789390337411704421,43236464244695,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
101,1789390337421693515,43236474233785,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
102,1789390337431704471,43236484244740,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
103,1789390337441687007,43236494227284,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
104,1789390337451694186,43236504234454,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
105,1789390337461688093,43236514228360,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
106,1789390337471687579,43236524227854,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
107,1789390337481729139,43236534269324,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
108,1789390337491687659,43236544227937,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
109,1789390337501695921,43236554236190,-3.880823749e-15,1,1,0,0,1,0,0,0,0,0,-1,0.5,0,0,1000000000,0,1,1,0,0,0,0,0,0,0,0,0,-3.626613925,-3.577082667,0,0,0,0,0
